Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,multiple_deliveries,Festival,Time_taken,Travel_Distance,pickup_time,Vehicle_performance_Impact,rush_day
33,4.9,3,2,1,0,43.0,26.9,5.0,4,5
38,4.9,5,4,1,0,48.0,24.8,10.0,4,3
39,4.8,2,1,1,0,15.0,2.5,10.0,6,2
29,4.6,4,4,1,0,26.0,8.7,15.0,9,2
33,4.9,3,1,0,0,18.0,25.4,10.0,6,6
36,4.7,5,4,1,0,32.0,14.9,25.0,6,6
36,4.9,6,1,1,0,23.0,2.0,5.0,9,6
32,5.0,5,2,1,0,25.0,6.5,10.027691020682196,8,7
38,4.7,3,1,1,0,28.0,3.6,10.0,8,3
23,5.0,5,4,1,0,22.0,14.3,15.0,8,3
29,4.8,5,1,0,0,12.0,10.9,10.0,6,5
38,4.1,5,2,1,0,47.0,13.5,5.0,4,1
38,4.2,3,1,1,0,15.0,3.0,6.016614612409317,12,4
38,4.3,1,4,0,0,33.0,19.2,10.0,6,3
31,4.4,5,1,0,0,27.0,4.0,10.82990630233677,4,5
37,5.0,6,1,0,0,21.0,25.3,5.0,6,3
31,5.0,4,1,1,0,26.0,17.6,5.0,6,2
31,4.5,6,1,1,0,20.0,16.8,5.0,6,3
35,4.3,6,3,1,0,34.0,6.6,10.0,4,4
34,4.7,4,1,1,0,27.0,20.2,10.82990630233677,9,4
21,4.6,5,1,1,0,16.0,6.6,15.0,12,2
31,4.6,5,1,1,0,29.0,4.1,15.0,9,3
25,5.0,6,1,1,0,17.0,15.3,6.818829894063892,12,0
30,4.9,1,2,1,0,22.0,12.5,5.0,4,5
26,4.9,6,2,1,0,26.0,27.0,5.0,4,4
32,4.9,6,1,1,0,28.0,2.1,15.0,8,5
25,4.8,4,1,0,0,24.0,12.0,15.0,4,2
32,4.5,1,1,1,0,29.0,13.6,15.0,9,2
30,4.9,6,1,0,0,24.0,19.75,10.0,6,1
38,4.2,6,4,3,0,42.0,25.9,15.0,4,3
25,4.6,5,1,1,0,17.0,25.2,5.0,4,4
30,4.6,1,1,1,0,18.0,24.1,5.0,12,3
24,4.7,6,2,1,0,25.0,13.2,10.027691020682196,6,2
28,4.6,2,1,0,0,15.0,2.3,10.0,9,6
38,4.9,6,2,1,0,25.0,13.4,10.0,8,5
23,4.7,3,2,1,0,27.0,28.3,10.0,6,5
23,5.0,5,2,1,0,21.0,32.2,5.0,12,5
36,3.8,5,2,2,0,36.0,17.9,10.0,8,3
20,4.8,2,2,1,0,31.0,15.3,15.0,4,5
20,4.8,3,1,0,0,15.0,24.0,10.0,12,0
23,4.6,3,4,0,0,28.0,22.0,5.0,8,4
35,4.9,6,1,1,0,26.0,29.7,10.0,9,0
27,4.9,3,1,1,0,12.0,14.7,10.0,6,3
26,4.6,4,2,1,0,31.0,23.6,12.43433686564592,6,5
36,4.1,1,4,0,0,39.0,18.25,5.0,4,5
26,5.0,2,1,1,0,17.0,12.9,5.0,6,0
24,4.8,3,3,1,0,23.0,8.6,9.22547573902762,4,6
39,3.5,6,4,0,0,40.0,16.8,5.0,6,3
35,4.9,3,3,0,0,25.0,8.8,10.0,8,2
37,4.3,4,3,2,0,35.0,10.6,10.0,6,2
25,4.5,2,4,1,0,30.0,12.4,5.0,8,1
22,4.6,2,3,1,0,20.0,9.1,8.022152816545756,4,5
34,4.7,1,2,1,0,25.0,19.8,15.0,9,5
20,4.9,6,4,1,0,15.0,12.3,5.0,6,1
28,4.6,5,1,0,0,18.0,4.8,10.0,8,3
24,4.8,5,2,1,0,35.0,29.0,15.0,4,5
32,4.7,1,2,1,0,26.0,22.0,5.0,12,7
32,3.9,6,4,0,0,32.0,18.7,12.835444506473207,12,5
34,4.5,4,2,1,0,29.0,9.3,5.0,4,0
36,4.2,3,2,1,0,35.0,8.4,10.0,4,3
35,4.8,6,1,0,0,23.0,5.5,10.0,9,3
26,4.8,2,2,1,0,22.0,7.1,10.0,4,2
31,4.4,5,3,1,0,33.0,8.1,5.0,6,7
22,4.6,2,2,1,0,12.0,7.7,10.0,6,6
29,5.0,1,4,1,0,16.0,6.3,15.0,6,4
20,4.1,6,1,1,0,16.0,4.9,5.0,4,3
36,4.4,5,2,1,1,48.0,14.4,19.253166759709814,4,4
32,4.5,3,2,0,0,25.0,7.3,10.027691020682196,12,6
35,4.5,2,4,1,0,27.0,14.6,15.0,9,4
27,4.7,5,4,1,0,24.0,17.5,15.0,8,3
31,4.9,4,2,0,0,31.0,25.2,10.0,6,2
30,4.6,5,1,0,0,25.0,2.2,15.0,12,3
23,4.3,4,4,1,0,39.0,19.8,10.0,6,6
24,4.9,2,4,1,0,33.0,32.5,5.0,12,5
30,4.9,3,1,1,0,27.0,3.5,15.0,6,6
29,4.8,1,1,1,0,19.0,5.2,15.0,8,5
31,4.7,3,3,1,0,34.0,9.7,13.637659788127785,6,4
21,4.9,1,1,0,0,19.0,3.4,10.0,6,6
20,4.8,2,3,1,0,26.0,5.2,5.0,9,7
22,4.6,5,4,1,0,27.0,23.7,15.0,6,5
24,4.6,5,4,1,0,26.0,31.2,20.0,6,3
37,4.6,6,3,1,0,34.0,1.9,5.0,6,4
28,5.0,6,3,0,0,11.0,8.1,5.0,6,3
20,4.7,4,1,0,0,14.0,5.9,5.615506971582029,12,4
36,4.6,3,2,1,0,31.0,8.2,5.0,6,6
24,4.6,5,3,1,0,14.0,7.6,5.0,6,7
20,4.9,6,2,0,0,22.0,10.5,5.0,6,2
39,4.8,1,1,1,0,10.0,3.8,4.011076408272878,8,2
32,4.2,3,4,0,0,40.0,33.4,15.0,4,3
20,4.7,2,3,0,0,24.0,9.1,10.0,9,6
30,5.0,4,3,1,0,33.0,7.8,15.0,8,0
26,4.6,3,1,1,0,13.0,11.1,10.0,6,0
25,4.5,6,1,0,0,16.0,5.7,5.0,4,0
25,4.7,4,4,0,0,25.0,10.1,10.0,9,5
37,4.6,2,4,0,1,54.0,14.2,15.0,4,5
26,4.9,2,1,0,0,10.0,2.2,4.011076408272878,9,1
21,4.0,2,2,1,0,31.0,21.4,10.0,6,6
28,4.3,4,4,1,0,32.0,12.1,15.0,9,4
37,4.9,4,1,0,0,17.0,11.7,15.0,9,5
30,4.8,4,1,0,0,17.0,7.0,6.818829894063892,9,3
24,4.6,6,2,1,0,26.0,8.2,10.0,6,7
38,4.9,6,4,1,1,53.0,20.8,10.0,4,4
37,4.6,4,1,1,0,28.0,13.5,11.231013943164058,6,4
38,4.8,4,1,0,0,18.0,3.8,5.0,9,0
38,4.5,6,4,1,0,30.0,22.5,15.0,8,5
39,3.7,3,2,1,0,37.0,18.8,15.0,8,4
34,4.2,5,4,1,0,25.0,12.6,10.027691020682196,9,0
29,4.6,5,2,1,0,20.0,6.4,5.0,9,1
30,4.4,4,1,1,0,21.0,7.75,8.423260457373043,12,6
32,4.1,2,3,0,0,34.0,9.1,15.0,8,2
20,4.9,6,4,1,0,15.0,9.1,5.0,4,5
25,5.0,4,4,1,0,29.0,6.1,5.0,12,1
28,4.7,3,1,0,0,17.0,3.6,5.0,6,4
39,4.1,5,4,1,0,33.0,33.4,13.236552147300497,6,5
27,5.0,5,4,0,0,21.0,6.1,8.423260457373043,12,7
31,4.9,5,2,0,0,26.0,13.2,10.428798661509482,6,5
35,4.8,2,2,1,0,42.0,16.5,15.0,4,6
26,4.9,5,4,1,0,22.0,11.3,8.824368098200331,6,4
28,4.7,4,4,1,0,35.0,21.7,14.038767428955072,4,3
39,4.7,2,1,0,0,28.0,34.4,5.0,8,0
36,4.7,3,2,1,0,29.0,8.6,15.0,8,1
39,4.7,2,2,1,0,27.0,8.2,10.0,4,5
35,4.9,3,3,1,0,35.0,2.0,15.0,4,1
35,4.7,3,4,1,0,26.0,8.3,5.0,9,4
31,4.2,5,3,1,0,32.0,3.2,5.0,9,7
21,4.9,2,4,1,0,36.0,24.7,10.0,4,5
35,4.9,2,2,1,0,18.0,7.2,7.21993753489118,6,6
34,4.6,4,4,1,0,30.0,15.0,10.0,4,3
29,4.1,5,2,0,0,31.0,19.9,10.0,4,5
23,4.8,1,1,1,0,13.0,2.3,5.214399330754741,4,2
29,4.6,1,4,1,0,17.0,26.5,10.0,9,7
24,5.0,3,4,1,0,25.0,6.5,10.0,4,3
22,4.6,3,2,1,0,18.0,13.1,10.0,6,2
38,4.7,1,1,1,0,29.0,4.2,11.632121583991346,4,0
29,5.0,4,2,1,0,17.0,15.3,10.0,12,3
22,5.0,3,1,0,0,15.0,2.6,10.0,8,0
21,4.9,2,4,0,0,30.0,6.3,5.0,6,2
25,4.9,1,1,0,0,21.0,1.9,10.0,9,2
32,4.8,5,1,0,0,17.0,19.1,10.0,9,4
20,4.7,6,4,1,0,30.0,8.2,15.0,4,5
37,4.8,1,1,0,0,10.0,3.0,4.011076408272878,6,1
29,4.6,2,1,1,0,26.0,15.1,15.0,8,2
36,4.4,6,2,2,0,33.0,12.6,10.0,6,1
29,4.5,4,1,0,0,13.0,13.8,5.214399330754741,12,3
33,4.7,2,4,0,1,38.0,18.3,10.0,6,1
31,4.7,1,2,1,0,23.0,10.3,9.22547573902762,4,4
30,4.6,4,4,1,0,33.0,16.5,10.0,8,4
38,4.9,2,2,1,0,16.0,17.0,5.0,9,2
35,4.9,4,2,0,0,17.0,6.5,10.0,9,0
20,4.8,5,4,0,0,21.0,26.5,15.0,8,2
38,4.0,4,2,1,0,33.0,15.9,5.0,4,1
30,4.3,4,2,0,0,33.0,16.0,10.0,6,3
27,4.9,4,4,0,0,28.0,11.3,10.0,4,5
39,4.9,1,2,0,0,28.0,12.1,15.0,4,3
35,4.2,2,2,1,0,31.0,9.6,10.0,4,1
32,5.0,6,3,1,0,27.0,1.8,10.82990630233677,9,2
31,4.0,1,2,1,0,34.0,17.8,5.0,4,2
32,4.7,3,1,1,0,15.0,19.7,6.016614612409317,6,2
29,4.9,6,1,0,0,10.0,11.0,4.011076408272878,8,3
34,4.7,6,4,1,0,33.0,12.4,10.0,8,0
37,4.6,4,4,1,0,45.0,13.9,5.0,4,3
36,3.5,6,4,1,0,34.0,18.3,5.0,8,6
32,4.6,6,2,0,0,28.0,16.1,15.0,8,3
21,4.8,5,4,0,0,17.0,24.1,10.0,6,2
37,5.0,3,3,1,0,33.0,3.8,5.0,6,1
34,4.0,5,4,1,0,44.0,17.7,17.648736196400662,4,6
28,4.9,6,4,1,0,25.0,14.7,5.0,9,2
33,4.9,2,1,0,0,15.0,4.7,10.0,9,6
32,4.8,5,4,1,0,29.0,8.3,10.0,8,2
32,4.7,4,2,0,0,36.0,23.4,15.0,4,0
35,4.6,1,2,1,0,30.0,24.7,12.033229224818632,4,2
37,4.8,1,1,1,0,28.0,6.7,5.0,4,1
31,4.9,4,4,2,0,37.0,16.9,10.0,9,3
21,4.8,5,4,1,0,22.0,11.5,10.0,9,4
36,4.9,5,1,1,0,26.0,24.3,10.428798661509482,8,6
27,3.7,1,3,2,0,47.0,4.3,15.0,4,6
20,4.6,2,4,1,0,37.0,21.1,15.0,4,1
32,4.8,6,1,1,0,21.0,9.9,15.0,6,0
36,4.7,1,2,1,0,38.0,16.25,5.0,4,6
27,4.6,5,1,0,0,12.0,22.6,4.813291689927453,6,2
26,4.7,5,4,0,0,16.0,23.4,5.0,6,0
20,4.7,5,1,0,0,11.0,24.0,4.412184049100166,12,3
37,4.5,6,1,0,0,29.0,2.8,5.0,4,1
24,4.9,3,1,0,0,18.0,3.1,15.0,12,1
36,4.1,3,1,0,0,21.0,1.9,15.0,4,0
28,4.5,6,1,1,0,19.0,6.6,15.0,4,3
29,4.8,6,2,1,0,21.0,17.1,10.0,6,6
23,4.8,3,2,1,0,26.0,27.6,10.0,8,3
27,4.6,2,1,0,0,24.0,13.5,5.0,4,2
24,4.9,2,1,1,0,21.0,25.5,8.423260457373043,4,2
28,5.0,3,1,1,0,11.0,12.7,10.0,8,2
26,5.0,6,4,1,0,35.0,6.0,15.0,4,5
36,4.6,4,4,1,0,31.0,8.3,12.43433686564592,8,3
36,4.4,6,2,1,0,31.0,7.6,5.0,9,3
33,4.9,5,1,1,0,27.0,14.4,15.0,4,0
39,4.8,2,1,0,0,15.0,3.9,5.0,8,1
30,4.7,5,3,1,0,27.0,2.8,5.0,8,1
28,4.6,1,3,0,0,18.0,5.7,7.21993753489118,6,6
24,4.8,4,1,1,0,26.0,43.2,15.0,6,0
39,4.5,3,1,1,0,25.0,25.05,15.0,4,2
26,4.7,5,4,1,0,26.0,6.9,5.0,4,1
27,5.0,5,3,1,0,27.0,7.6,5.0,6,6
33,4.8,1,4,0,0,18.0,19.2,10.0,9,6
34,4.2,3,4,1,0,46.0,6.7,25.0,4,4
29,4.8,2,4,1,0,39.0,6.85,15.0,6,1
31,5.0,5,4,1,0,32.0,7.0,10.0,4,1
32,3.7,4,1,1,0,35.0,18.0,14.038767428955072,9,3
26,4.9,4,3,1,0,27.0,6.1,10.0,4,4
23,4.8,6,1,1,0,29.0,2.6,11.632121583991346,9,6
20,4.8,3,4,1,0,29.0,25.1,15.0,9,2
23,4.6,6,4,1,0,24.0,14.5,5.0,6,2
27,5.0,1,1,1,0,17.0,2.9,10.0,12,2
25,4.9,3,1,1,0,12.0,4.7,10.0,6,4
39,4.8,5,1,1,0,29.0,4.6,5.0,12,4
21,4.9,5,1,1,0,15.0,4.5,6.016614612409317,6,1
30,4.5,6,4,1,0,37.0,12.5,10.0,6,7
24,4.7,5,4,0,0,13.0,13.4,5.214399330754741,6,6
39,4.6,6,3,0,0,34.0,9.3,15.0,12,2
28,4.8,4,1,1,0,29.0,20.8,5.0,9,1
28,4.8,1,4,1,0,15.0,32.2,10.0,12,3
35,5.0,5,4,0,0,48.0,8.1,5.0,4,4
25,4.9,4,1,0,0,21.0,18.7,8.423260457373043,8,6
25,4.4,3,1,0,0,15.0,12.8,5.0,4,5
36,4.8,6,1,1,0,27.0,2.3,10.0,8,1
21,4.6,6,2,0,0,22.0,18.4,10.0,8,6
26,4.5,4,1,0,0,12.0,2.9,5.0,8,3
25,4.5,1,2,0,0,23.0,19.6,15.0,4,2
22,3.7,1,3,0,0,43.0,8.8,17.247628555573375,4,0
37,4.1,3,2,1,0,35.0,28.4,10.0,8,2
33,3.9,5,4,0,0,42.0,27.6,5.0,12,2
22,4.5,2,1,1,0,20.0,10.8,5.0,4,0
37,4.5,3,2,1,0,21.0,28.5,5.0,8,7
22,4.5,2,2,0,0,14.0,8.4,10.0,9,1
22,4.5,4,1,0,0,27.0,12.2,10.82990630233677,12,6
23,4.5,3,2,0,0,21.0,22.0,10.0,9,0
28,4.9,1,4,1,0,19.0,19.35,7.621045175718468,8,4
28,4.8,4,4,1,0,40.0,16.7,10.0,8,4
20,4.9,1,2,1,0,10.0,16.1,4.011076408272878,6,5
24,4.0,4,3,1,0,31.0,9.1,10.0,6,6
39,4.6,2,4,1,0,28.0,6.7,5.0,4,4
24,4.6,2,2,2,0,38.0,22.0,10.0,9,2
32,4.7,4,3,0,0,33.0,7.6,5.0,8,3
28,4.5,5,4,1,0,27.0,6.5,15.0,6,5
26,4.9,4,3,0,0,27.0,4.4,5.0,8,1
24,4.8,1,1,1,0,23.0,8.0,15.0,6,5
29,5.0,2,4,2,0,34.0,14.4,5.0,12,1
23,4.8,3,2,0,0,29.0,28.4,15.0,9,5
30,4.5,5,1,1,0,23.0,24.1,5.0,4,4
21,4.6,1,4,0,0,23.0,18.2,15.0,6,5
34,4.9,1,1,1,0,12.0,4.7,5.0,9,3
21,4.6,3,3,1,0,23.0,4.5,5.0,8,5
22,4.6,6,4,1,0,28.0,28.0,15.0,9,5
30,4.0,6,1,1,0,32.0,3.4,5.0,4,2
39,4.1,2,4,1,0,47.0,29.9,5.0,6,2
23,4.8,4,2,0,0,23.0,10.5,15.0,4,1
32,4.7,6,2,0,0,32.0,10.6,12.835444506473207,6,2
28,4.6,1,4,1,0,18.0,16.7,5.0,4,1
22,4.9,1,1,0,0,18.0,5.3,10.0,6,3
34,4.9,2,2,1,0,34.0,8.0,13.637659788127785,4,5
34,4.9,1,4,0,0,21.0,13.5,5.0,9,4
33,5.0,3,1,1,0,23.0,14.4,10.0,6,3
35,4.9,4,1,1,0,27.0,24.2,15.0,6,6
36,4.7,2,4,1,1,44.0,19.3,10.0,6,4
38,4.5,4,1,1,0,20.0,3.3,5.0,4,1
35,4.6,4,3,0,0,27.0,8.2,5.0,12,1
24,4.6,6,2,1,0,28.0,15.0,15.0,8,5
20,4.7,4,1,1,0,28.0,17.9,10.0,6,5
20,4.2,4,4,1,0,38.0,17.8,15.0,6,5
26,4.9,2,4,0,0,26.0,14.3,5.0,4,3
35,4.8,4,1,1,0,19.0,14.1,10.0,9,1
21,4.2,3,4,1,0,37.0,17.2,14.840982710609648,4,4
30,4.9,5,2,1,0,27.0,18.7,10.0,9,2
21,4.5,3,4,0,0,28.0,11.1,15.0,12,1
31,4.6,6,4,0,0,53.0,17.2,30.0,4,4
24,5.0,5,4,1,0,21.0,19.549,10.0,8,3
27,5.0,5,2,1,0,33.0,21.9,13.236552147300497,4,1
29,3.5,1,1,0,0,41.0,35.9,10.0,8,5
33,4.8,1,3,1,0,19.0,11.9,7.621045175718468,8,5
26,4.7,3,4,1,0,25.0,27.2,10.0,4,3
36,5.0,4,4,0,0,32.0,12.9,12.835444506473207,4,1
38,4.7,1,1,0,0,27.0,1.7,10.82990630233677,4,4
24,4.4,6,4,0,0,32.0,9.2,12.835444506473207,4,1
37,4.6,5,1,0,0,29.0,3.2,5.0,9,1
30,4.6,5,4,0,0,25.0,13.5,5.0,6,3
27,4.5,3,1,0,0,10.0,18.2,4.011076408272878,6,3
37,3.5,2,1,0,0,37.0,13.4,14.840982710609648,9,2
39,4.8,4,2,1,0,31.0,7.4,15.0,4,2
39,4.8,4,4,1,0,37.0,12.8,15.0,12,5
34,4.8,4,1,1,0,33.0,18.55,30.0,4,3
29,4.9,3,4,1,0,33.0,24.3,5.0,4,3
29,4.8,6,4,0,0,21.0,11.8,8.423260457373043,4,4
30,4.7,2,4,0,0,36.0,26.3,15.0,8,2
30,4.7,6,1,1,0,25.0,2.2,15.0,12,0
24,4.5,5,2,0,0,10.0,8.4,4.011076408272878,4,6
37,4.9,1,2,1,0,18.0,25.4,15.0,6,5
32,4.2,4,4,1,0,39.0,25.9,10.0,6,7
29,4.9,2,1,1,0,18.0,12.7,5.0,4,1
34,4.2,4,3,0,0,33.0,11.6,10.0,9,4
35,4.5,3,1,1,0,26.0,5.2,10.0,6,5
35,4.5,1,3,1,0,22.0,8.1,10.0,4,3
27,4.7,1,1,1,0,15.0,3.5,6.016614612409317,6,1
27,4.7,6,4,0,0,18.0,21.6,10.0,9,6
22,4.5,4,1,0,0,15.0,10.7,5.0,4,0
31,4.7,4,1,0,0,20.0,3.8,15.0,4,2
33,5.0,4,2,3,0,42.0,17.4,16.846520914746087,8,2
37,4.3,4,3,0,0,36.0,9.4,10.0,6,3
20,4.0,2,2,1,0,33.0,22.4,10.0,9,6
32,5.0,3,2,2,1,49.0,23.7,10.0,4,1
28,4.0,2,2,1,0,37.0,24.1,10.0,6,6
36,4.2,5,4,2,1,47.0,17.3,18.85205911888253,4,1
35,4.5,5,1,0,0,29.0,2.4,5.0,6,5
25,4.3,3,4,0,0,34.0,26.4,15.0,4,3
30,4.2,2,3,1,0,21.0,4.0,8.423260457373043,4,3
36,4.2,2,3,1,0,31.0,11.3,5.0,9,2
37,5.0,5,1,0,0,17.0,20.8,10.0,8,5
36,4.7,5,2,1,0,30.0,19.4,15.0,4,4
33,4.8,1,4,0,0,19.0,19.049,7.621045175718468,9,2
31,4.9,4,2,0,0,35.0,18.7,15.0,4,0
39,4.2,1,4,2,0,38.0,15.8,10.0,4,5
23,4.3,6,4,1,0,31.0,26.4,5.0,4,2
21,5.0,1,1,0,0,15.0,7.0,6.016614612409317,9,5
31,4.6,2,2,0,0,19.0,10.8,5.0,6,3
38,4.8,1,4,1,0,25.0,11.55,10.027691020682196,8,6
28,4.7,2,1,1,0,28.0,12.3,11.231013943164058,6,2
28,4.8,1,1,1,0,19.0,13.3,7.621045175718468,6,6
28,5.0,3,1,0,0,17.0,18.1,5.0,8,6
30,4.1,3,4,1,1,44.0,14.9,10.0,6,6
34,4.9,3,1,0,0,24.0,2.4,10.0,6,3
29,5.0,2,1,1,0,24.0,2.4,5.0,4,0
35,4.9,5,2,1,0,28.0,11.3,10.0,6,4
39,4.8,3,1,1,0,23.0,4.6,15.0,9,6
23,4.6,5,1,0,0,12.0,6.8,4.813291689927453,8,4
30,4.9,2,2,1,0,25.0,8.9,5.0,4,0
28,4.8,5,1,1,0,17.0,18.7,10.0,6,2
24,4.8,4,1,1,0,25.0,13.5,10.027691020682196,8,3
20,4.8,5,1,1,0,18.0,11.2,10.0,9,4
39,4.3,3,2,0,0,38.0,8.0,15.0,4,1
22,4.7,5,1,0,0,20.0,24.4,15.0,4,4
38,4.3,6,1,1,0,26.0,3.0,15.0,4,0
25,4.6,2,4,0,0,33.0,16.8,13.236552147300497,6,5
33,4.8,4,4,0,0,30.0,15.0,10.0,4,6
35,4.8,6,2,1,0,28.0,13.95,11.231013943164058,8,1
20,4.6,6,2,0,0,23.0,12.9,15.0,8,5
39,4.3,5,4,1,0,32.0,22.4,15.0,9,7
30,4.8,6,1,0,0,22.0,21.7,5.0,6,2
39,4.7,4,4,2,0,39.0,11.8,15.0,6,5
24,4.9,5,2,0,0,21.0,15.9,15.0,4,7
37,4.3,2,4,0,0,31.0,6.9,10.0,4,4
33,4.8,6,1,1,0,27.0,6.3,5.0,8,4
26,4.9,1,2,1,0,19.0,9.5,5.0,9,5
21,4.5,6,1,0,0,18.0,19.0,5.0,8,4
21,4.7,5,1,1,0,16.0,2.3,10.0,12,3
27,4.9,3,4,1,0,16.0,27.3,15.0,9,6
26,4.7,2,1,0,0,19.0,4.7,15.0,4,5
37,4.9,1,4,1,0,42.0,26.1,15.0,4,4
22,4.7,3,4,1,0,20.0,22.0,5.0,9,2
32,4.9,5,1,1,0,20.0,5.4,10.0,8,6
37,4.6,3,2,2,0,41.0,22.0,5.0,4,0
33,4.7,5,4,1,0,42.0,6.8,5.0,4,3
29,4.8,6,2,0,0,25.0,24.6,10.027691020682196,4,4
37,4.3,6,2,1,0,37.0,29.7,15.0,9,5
31,4.3,4,1,1,0,15.0,8.1,6.016614612409317,4,4
25,4.4,4,1,1,0,39.0,21.7,15.643197992264223,8,3
20,4.4,6,1,1,0,28.0,3.2,5.0,4,5
28,4.8,5,1,1,0,22.0,15.3,10.0,4,0
23,5.0,2,1,0,0,13.0,6.8,5.214399330754741,8,3
39,4.9,1,2,0,0,38.0,27.2,15.0,4,0
35,4.9,5,4,1,0,29.0,10.9,5.0,12,1
35,4.9,4,1,0,0,18.0,12.2,5.0,6,5
28,4.7,4,1,0,0,18.0,5.2,5.0,8,2
28,4.8,1,4,0,0,20.0,18.4,5.0,9,3
28,4.8,6,4,1,0,25.0,10.4,5.0,6,3
38,4.7,6,2,1,0,28.0,9.2,15.0,6,3
38,4.7,3,3,1,0,30.0,7.2,10.0,12,2
22,4.9,6,1,0,0,10.0,5.1,4.011076408272878,12,4
35,4.6,4,1,0,0,17.0,4.1,10.0,9,1
24,4.6,4,1,0,0,19.0,2.7,10.0,9,3
21,4.6,6,2,0,0,23.0,7.3,10.0,8,4
26,4.6,3,1,1,0,16.0,12.8,10.0,8,2
20,4.7,4,1,1,0,13.0,5.0,5.0,12,5
28,4.7,1,2,0,0,15.0,9.9,10.0,12,4
25,4.7,3,4,1,0,27.0,9.8,5.0,6,4
28,4.5,5,2,1,0,20.0,17.7,8.022152816545756,6,1
36,4.3,5,2,1,0,33.0,12.1,15.0,8,5
34,4.1,3,1,1,0,30.0,4.7,12.033229224818632,4,2
33,4.6,5,1,0,0,20.0,10.4,10.0,6,1
27,4.6,4,3,1,0,28.0,2.1,15.0,4,2
28,4.7,2,4,0,0,25.0,11.5,10.0,4,0
20,4.6,6,4,0,0,15.0,6.2,6.016614612409317,4,4
35,4.9,5,1,1,0,22.0,3.1,10.0,9,6
28,4.0,4,3,1,0,34.0,2.7,13.637659788127785,12,1
20,4.2,1,4,1,0,46.0,19.1,18.45095147805524,4,3
33,5.0,4,3,1,0,29.0,7.3,10.0,6,3
24,4.7,4,3,1,0,26.0,9.5,10.0,9,2
33,4.6,3,4,1,0,34.0,6.8,5.0,4,3
20,4.8,3,1,1,0,18.0,17.5,10.0,9,2
25,4.5,5,2,1,0,18.0,8.6,5.0,4,1
31,3.9,3,2,1,0,38.0,22.5,10.0,8,3
21,4.7,6,1,1,0,13.0,5.9,10.0,9,6
24,4.2,6,1,1,0,22.0,4.5,15.0,4,3
39,5.0,4,2,1,0,37.0,18.3,10.0,8,6
20,4.6,3,4,1,0,19.0,26.9,5.0,9,4
29,5.0,3,4,1,0,32.0,12.1,5.0,4,0
23,4.8,4,1,1,0,17.0,2.1,5.0,8,2
36,4.1,6,1,0,0,25.0,14.9,10.0,4,1
38,4.6,1,2,1,0,23.0,9.5,9.22547573902762,12,0
26,4.9,4,3,1,0,21.0,5.6,5.0,8,5
26,4.7,3,1,1,0,19.0,22.0,5.0,6,6
25,4.5,6,4,1,0,23.0,12.1,5.0,12,1
35,4.8,6,3,1,0,27.0,4.8,15.0,9,2
29,5.0,2,2,2,0,43.0,20.3,15.0,4,0
22,4.9,4,2,1,0,25.0,26.8,5.0,6,5
26,4.8,2,2,1,0,30.0,27.3,12.033229224818632,6,3
30,4.7,4,4,3,0,47.0,27.8,10.0,8,6
32,5.0,1,3,1,0,20.0,2.1,5.0,12,1
23,4.6,5,4,1,0,19.0,17.5,15.0,12,3
26,4.9,6,4,0,0,30.0,13.5,12.033229224818632,4,2
28,4.6,1,2,0,0,14.0,17.7,5.0,6,6
38,4.9,5,1,0,0,17.0,19.6,15.0,6,0
25,4.8,5,2,1,0,22.0,7.4,5.0,4,5
26,5.0,6,4,1,0,28.0,15.4,10.0,9,7
39,4.9,2,3,1,0,33.0,10.2,5.0,8,1
25,4.9,6,2,1,0,16.0,18.3,10.0,6,3
26,4.6,4,1,1,0,26.0,15.7,15.0,8,2
38,4.6,2,1,1,0,23.0,2.9,10.0,4,4
39,3.4,1,1,2,0,34.0,3.9,5.0,4,2
24,4.6,1,4,1,0,21.0,4.9,15.0,6,4
35,4.3,5,4,1,0,33.0,5.9,10.0,4,4
33,4.6,3,4,1,0,29.0,22.6,5.0,6,4
30,4.7,1,2,0,0,20.0,26.4,5.0,8,2
33,4.7,1,4,1,0,16.0,8.1,6.4177222532366045,9,6
39,4.9,2,4,1,0,33.0,14.9,5.0,4,2
26,4.9,2,4,3,0,43.0,27.2,5.0,9,4
28,4.7,3,4,1,0,22.0,17.2,15.0,6,1
20,4.7,3,4,1,0,19.0,34.7,15.0,6,6
25,4.0,2,2,1,0,34.0,52.2,15.0,6,4
29,4.9,3,2,0,0,29.0,23.9,5.0,4,6
37,4.8,6,2,1,0,30.0,12.9,12.033229224818632,12,1
32,4.9,4,1,1,0,16.0,1.5,6.4177222532366045,6,1
22,4.8,6,3,0,0,15.0,2.5,10.0,9,4
28,4.6,2,4,1,0,39.0,19.4,15.0,6,2
25,4.7,5,1,1,0,16.0,27.3,10.0,8,6
39,4.9,4,1,1,0,17.0,11.8,15.0,9,4
20,4.8,1,1,1,0,20.0,3.9,8.022152816545756,6,1
31,4.5,5,1,0,0,29.0,3.8,5.0,6,0
38,4.7,2,1,0,0,15.0,4.8,6.016614612409317,6,0
22,4.2,6,1,1,0,18.0,5.2,10.0,4,3
33,3.9,6,2,1,0,34.0,22.7,10.0,9,3
24,4.6,5,2,1,0,26.0,16.0,10.0,8,7
23,5.0,6,4,1,0,25.0,24.5,5.0,12,1
34,3.7,2,1,1,0,37.0,18.1,5.0,6,2
