Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_performance_Impact,Festival,multiple_deliveries,pickup_time,Travel_Distance,Time_taken
38,5.0,5,4,12,0,2,8.0,12.6,32.0
32,5.0,2,4,6,0,2,15.0,13.6,33.0
28,4.5,1,2,9,0,1,10.0,31.1,13.0
39,4.9,6,4,8,0,2,10.0,24.4,29.0
32,4.4,3,2,6,0,2,15.0,9.2,34.0
39,4.8,5,1,9,0,2,5.0,4.6,29.0
38,3.7,5,2,6,0,1,15.0,14.2,35.0
20,4.8,2,4,3,0,2,9.0,7.0,26.0
33,4.0,6,4,6,0,2,10.0,13.4,33.0
25,4.6,5,4,12,0,2,5.0,14.5,24.0
39,4.2,5,3,12,0,2,15.0,2.7,32.0
34,4.6,3,4,12,0,2,8.0,7.2,26.0
34,4.9,6,1,8,0,2,15.0,8.1,25.0
28,4.9,2,4,3,0,2,8.0,24.7,46.0
31,4.5,2,1,3,0,2,5.0,10.2,25.0
28,4.7,2,1,3,0,1,10.0,10.0,18.0
33,4.7,1,1,6,0,2,10.0,3.5,12.0
36,4.4,3,4,6,0,2,20.0,20.8,40.0
25,4.8,4,1,4,0,2,8.0,7.2,21.0
39,4.7,1,1,3,0,2,5.0,4.0,27.0
27,4.6,5,4,3,0,1,5.0,26.3,31.0
32,4.8,6,1,12,0,2,5.0,4.2,20.0
27,4.5,5,1,12,0,2,4.0,17.1,10.0
24,4.4,5,4,8,0,1,25.0,12.1,26.0
30,4.9,3,1,6,0,2,5.0,12.2,27.0
21,4.6,6,2,12,0,2,15.0,20.1,26.0
23,5.0,3,2,3,0,2,15.0,16.0,31.0
39,3.4,1,1,3,0,3,5.0,3.9,34.0
39,4.6,1,1,8,0,1,8.0,14.2,22.0
25,4.6,2,4,6,0,1,15.0,33.7,38.0
27,4.9,6,4,12,0,2,10.0,8.5,22.0
22,4.9,3,4,9,0,2,10.0,9.9,16.0
29,4.8,4,1,3,0,2,15.0,32.5,24.0
50,3.2,4,1,12,0,2,12.0,9.7,33.0
38,4.5,2,4,3,1,3,15.0,15.7,51.5
34,5.0,2,2,3,0,3,12.0,19.6,41.0
20,4.5,3,1,3,0,2,20.0,2.5,28.0
33,4.5,6,2,9,0,2,10.0,8.1,26.0
28,4.8,3,4,3,0,2,5.0,9.0,28.0
36,4.7,1,2,12,0,2,5.0,15.3,27.0
39,4.7,1,4,3,0,2,5.0,13.5,20.0
20,4.6,1,4,3,0,2,5.0,12.9,28.0
28,4.9,6,1,3,0,1,5.0,14.4,15.0
24,4.5,4,2,3,0,3,10.0,17.5,43.0
25,4.8,6,2,3,0,1,15.0,5.4,24.0
34,4.9,1,1,6,0,2,10.0,11.05,27.0
30,4.0,2,2,6,0,1,15.0,19.6,34.0
31,4.4,6,1,3,0,2,5.0,6.7,20.0
22,4.5,1,4,3,0,1,5.0,16.8,43.0
32,3.6,6,4,8,0,2,15.0,15.6,40.0
33,4.6,4,1,8,0,2,15.0,4.7,18.0
31,4.4,3,1,3,0,2,15.0,2.2,27.0
28,4.2,3,2,3,0,1,5.0,25.4,24.0
37,4.6,1,4,3,0,2,15.0,8.4,24.0
32,4.8,3,2,8,0,2,8.0,24.7,21.0
28,4.5,6,4,3,0,1,10.0,33.7,25.0
25,4.9,6,4,12,0,2,5.0,34.0,25.0
29,4.7,1,4,12,0,2,10.0,16.8,12.0
33,4.6,2,1,8,0,2,10.0,18.4,15.0
24,2.6,1,1,8,1,2,10.0,17.1,43.0
22,4.7,6,4,6,0,2,15.0,9.1,26.0
28,4.7,1,1,3,0,1,10.0,2.4,16.0
27,4.7,4,3,3,0,2,10.0,2.1,28.0
29,4.7,6,1,6,0,2,5.0,2.4,13.0
26,4.0,3,4,3,0,2,5.0,21.3,37.0
31,4.8,1,2,12,0,2,10.0,11.4,24.0
33,4.9,3,4,3,0,3,10.0,15.3,49.0
32,4.1,5,4,3,0,2,5.0,21.1,41.0
37,4.9,4,2,12,0,2,12.0,20.5,36.0
33,4.7,4,4,6,0,2,5.0,17.9,40.0
39,4.9,6,2,3,0,2,10.0,25.6,37.0
24,4.9,1,2,3,0,2,5.0,15.0,24.0
23,4.7,4,2,12,0,2,12.0,27.2,31.0
29,4.7,3,4,6,0,1,5.0,13.1,25.0
24,4.7,4,1,8,0,1,6.0,12.2,12.0
39,3.6,3,4,9,0,1,10.0,25.3,37.0
34,4.1,5,2,3,0,1,15.0,19.7,47.0
20,4.7,4,1,6,0,1,5.0,1.9,17.0
35,4.7,2,2,8,0,2,10.0,9.6,19.0
38,5.0,6,3,3,0,1,10.0,8.8,34.0
35,4.9,1,2,6,0,1,10.0,12.0,25.0
26,4.9,3,4,3,0,1,10.0,7.3,19.0
25,4.5,6,4,6,0,2,5.0,14.2,18.0
32,4.9,2,2,8,0,2,5.0,27.4,32.0
30,4.8,3,4,12,0,2,10.0,21.9,31.0
33,4.8,6,4,9,0,2,15.0,14.2,27.0
36,4.9,4,2,12,0,2,5.0,12.7,19.0
20,4.9,6,3,9,0,1,15.0,2.4,18.0
24,4.7,5,4,9,0,1,5.0,16.5,25.0
24,4.8,2,2,6,0,1,10.0,13.3,19.0
21,5.0,1,4,6,0,1,12.0,6.7,14.0
26,4.6,2,4,8,0,2,12.0,10.9,27.0
38,4.8,2,1,8,0,2,5.0,5.6,19.0
23,4.7,5,4,3,0,2,5.0,6.9,30.0
33,4.1,4,4,6,0,2,10.0,19.9,37.0
37,4.6,1,4,3,0,1,5.0,11.6,25.0
30,5.0,6,1,8,0,2,5.0,22.5,20.0
29,5.0,5,1,8,0,1,10.0,15.6,11.0
30,4.5,6,4,8,0,2,15.0,9.1,26.0
29,4.6,5,1,3,0,1,10.0,18.1,24.0
27,4.6,5,1,8,0,1,15.0,17.5,17.0
31,4.7,1,2,3,0,2,10.0,10.3,23.0
29,4.6,1,2,8,0,2,10.0,9.9,17.0
24,4.6,3,1,9,0,2,10.0,17.8,17.0
36,4.6,4,1,12,0,2,10.0,22.3,27.0
24,5.0,5,1,9,0,2,5.0,4.4,16.0
32,4.0,6,2,3,0,2,10.0,20.2,38.0
22,4.6,1,4,6,0,2,5.0,10.1,13.0
22,4.7,3,1,3,0,2,15.0,27.7,20.0
29,5.0,6,2,3,0,2,5.0,16.8,34.0
34,4.1,5,1,3,0,2,15.0,10.5,33.0
27,4.3,5,1,3,0,2,15.0,7.9,22.0
29,4.3,5,3,3,0,1,15.0,8.8,32.0
31,4.7,3,1,12,0,2,10.0,8.7,29.0
25,5.0,4,1,6,0,1,8.0,3.2,13.0
24,4.5,4,1,3,0,2,15.0,15.4,20.0
32,4.6,4,1,3,0,1,12.0,3.4,24.0
21,4.5,3,4,6,0,2,15.0,22.8,19.0
33,4.6,2,4,3,0,3,15.0,25.5,51.5
36,4.0,3,1,8,0,1,5.0,2.5,26.0
33,4.7,4,3,12,0,2,5.0,8.1,26.0
23,4.8,6,1,8,0,1,15.0,8.5,16.0
20,3.9,1,4,3,0,2,5.0,12.8,51.5
25,4.1,5,3,3,0,3,5.0,3.1,36.0
37,3.7,6,4,12,0,1,10.0,33.7,36.0
33,4.4,2,1,9,0,3,10.0,12.65,39.0
21,4.9,6,1,8,0,1,15.0,17.0,16.0
29,4.7,2,3,8,0,2,10.0,2.1,33.0
25,4.9,5,4,8,0,2,10.0,13.1,26.0
31,5.0,4,3,12,0,3,10.0,4.8,36.0
39,4.5,1,1,3,0,2,5.0,8.7,26.0
32,3.8,6,4,8,1,2,15.0,24.4,43.0
26,4.2,2,3,12,0,2,5.0,8.8,34.0
24,4.9,2,3,3,0,2,10.0,8.8,25.0
35,4.9,5,1,3,0,2,10.0,36.25,21.0
25,4.2,6,4,3,0,2,15.0,26.8,39.0
32,4.6,5,2,3,0,2,15.0,22.5,34.0
33,4.6,2,1,3,0,1,5.0,2.4,29.0
27,4.1,4,4,8,0,2,15.0,23.9,37.0
22,4.7,5,3,8,0,2,10.0,7.6,13.0
33,4.8,3,4,9,0,1,5.0,6.1,30.0
31,4.7,4,2,6,0,2,5.0,9.5,18.0
23,4.8,3,4,3,0,2,15.0,11.2,36.0
29,4.7,3,1,6,0,2,10.0,18.9,13.0
24,4.9,1,3,6,0,2,7.0,7.2,19.0
26,4.7,2,1,12,0,2,15.0,12.7,19.0
28,4.9,5,2,3,0,2,10.0,6.7,21.0
32,4.8,1,1,12,0,2,7.0,14.5,24.0
37,4.8,4,4,8,0,2,15.0,9.3,30.0
23,4.9,3,4,8,0,2,10.0,27.3,18.0
39,4.6,4,4,3,0,2,15.0,9.7,32.0
38,4.8,2,4,8,0,2,15.0,11.8,31.0
27,4.7,3,2,3,0,2,10.0,7.6,28.0
27,4.5,3,1,3,0,1,15.0,4.1,22.0
23,4.7,2,1,6,0,2,5.0,3.1,13.0
24,5.0,4,1,6,0,2,10.0,17.7,24.0
30,4.9,3,2,3,0,2,10.0,10.2,27.0
39,4.6,1,4,6,0,2,10.0,24.2,17.0
37,4.7,4,1,3,0,2,15.0,5.2,28.0
27,4.7,2,4,6,0,1,5.0,6.6,34.0
24,5.0,3,4,9,0,2,15.0,14.6,19.0
25,4.7,2,2,3,0,1,10.0,10.0,24.0
39,4.3,6,4,6,1,2,12.0,18.4,42.0
25,4.5,6,4,9,0,1,5.0,14.1,19.0
32,4.9,2,1,12,0,2,10.0,11.5,16.0
26,4.0,2,2,3,0,3,12.0,27.6,48.0
31,4.8,3,1,12,0,2,10.0,14.6,21.0
23,4.9,5,2,8,0,2,5.0,27.7,23.0
39,4.7,2,4,12,0,1,10.0,11.9,25.0
39,4.4,3,1,3,0,2,15.0,2.1,26.0
28,4.7,3,4,3,0,2,10.0,16.6,29.0
39,4.7,6,4,3,0,2,5.0,8.1,35.0
36,4.4,6,4,12,0,2,10.0,15.0,33.0
23,3.5,1,3,3,0,2,5.0,2.2,47.0
28,4.7,6,1,9,0,1,10.0,20.5,16.0
21,4.9,1,1,8,0,2,8.0,2.2,15.0
38,5.0,4,2,9,0,3,10.0,13.9,41.0
33,4.6,5,2,6,0,2,15.0,20.0,22.0
21,4.7,2,4,6,0,1,15.0,11.5,24.0
29,4.5,3,4,3,0,2,10.0,6.7,19.0
23,4.8,5,4,12,0,1,5.0,23.3,21.0
36,4.7,6,2,12,0,2,15.0,10.7,33.0
39,4.7,5,2,8,0,1,10.0,8.4,25.0
37,4.7,2,2,8,0,2,10.0,25.2,30.0
22,4.9,4,4,3,0,2,5.0,36.25,26.0
36,4.9,5,1,9,0,2,10.0,3.7,25.0
38,4.7,4,4,8,1,2,15.0,17.8,43.0
31,4.7,2,1,9,0,1,5.0,3.6,15.0
32,4.6,6,1,6,0,1,15.0,11.3,20.0
26,4.9,5,1,9,0,1,5.0,2.1,10.0
34,4.8,4,1,3,0,1,12.0,2.3,23.0
25,4.8,6,1,8,0,1,7.0,12.3,14.0
27,4.9,3,4,3,0,1,15.0,11.1,19.0
38,4.4,1,4,3,0,2,15.0,14.4,31.0
36,3.7,4,1,6,0,2,10.0,25.1,31.0
37,3.6,5,2,8,0,2,15.0,8.3,36.0
20,4.9,6,4,9,0,1,10.0,16.2,23.0
20,4.9,2,4,6,0,2,9.0,12.5,29.0
29,5.0,5,1,3,0,2,5.0,11.0,16.0
37,4.1,5,3,12,0,1,10.0,8.4,32.0
37,5.0,4,1,6,0,1,15.0,5.5,18.0
35,4.5,2,1,6,0,2,15.0,5.5,18.0
24,4.8,4,3,12,0,1,10.0,7.9,22.0
20,4.8,6,2,12,0,2,15.0,19.2,28.0
32,3.8,6,4,12,0,2,10.0,28.2,38.0
36,5.0,2,1,12,0,1,5.0,18.2,30.0
26,4.6,5,1,12,0,1,5.0,10.9,14.0
33,4.7,6,1,8,0,2,10.0,6.5,25.0
37,4.4,4,1,4,0,2,10.0,10.6,37.0
31,4.4,4,1,8,0,1,15.0,8.733,29.0
21,4.7,6,3,3,0,3,5.0,4.7,38.0
24,4.5,5,4,8,0,2,8.0,10.2,24.0
20,5.0,5,1,12,0,2,5.0,4.0,12.0
21,4.8,4,1,3,0,1,10.0,15.9,15.0
23,5.0,4,1,8,0,2,10.0,11.7,14.0
39,4.4,4,1,3,0,1,5.0,14.6,37.0
20,4.8,2,1,6,0,1,15.0,3.9,18.0
27,5.0,3,3,6,0,2,5.0,11.1,13.0
22,4.8,3,1,6,0,1,12.0,15.1,13.0
30,4.7,4,1,4,0,1,10.0,15.3,18.0
35,5.0,3,4,12,0,2,8.0,9.0,29.0
21,4.6,2,1,9,0,2,4.0,5.0,10.0
33,4.8,1,1,12,0,2,5.0,19.4,25.0
32,4.9,1,3,3,0,1,5.0,3.2,22.0
26,4.7,5,4,12,0,1,8.0,17.0,18.0
30,4.7,6,1,12,0,2,15.0,5.6,20.0
31,4.9,6,2,3,1,2,10.0,23.9,49.0
23,4.6,2,3,9,0,2,5.0,6.2,22.0
27,4.8,3,1,3,0,1,10.0,6.2,23.0
25,4.6,2,2,8,0,2,5.0,8.2,17.0
26,4.2,2,4,6,1,1,5.0,14.0,43.0
32,4.0,6,4,3,1,1,10.0,16.1,43.0
24,5.0,5,2,12,0,2,5.0,15.3,29.0
24,4.6,6,4,3,0,2,15.0,18.2,39.0
20,5.0,1,1,6,0,1,10.0,4.9,17.0
37,4.7,3,1,6,0,2,5.0,26.9,20.0
32,4.8,3,2,6,0,2,10.0,9.8,26.0
25,4.6,3,4,8,0,2,5.0,28.7,20.0
28,4.7,3,3,6,0,1,5.0,11.9,12.0
31,4.4,5,4,3,0,2,15.0,29.1,51.0
23,4.7,6,1,6,0,1,5.0,6.3,14.0
22,4.2,6,1,3,0,2,5.0,7.2,21.0
36,4.7,3,4,8,0,2,5.0,9.8,26.0
32,5.0,3,3,8,0,2,5.0,10.8,31.0
20,4.7,3,4,9,0,2,10.0,12.7,27.0
22,4.8,1,2,3,0,1,10.0,11.3,15.0
38,4.6,5,1,3,0,1,10.0,14.6,28.0
32,4.6,1,2,6,0,1,10.0,11.1,21.0
21,4.6,4,1,3,0,2,5.0,14.1,24.0
37,4.6,3,1,3,0,2,8.0,25.1,26.0
25,4.8,6,1,12,0,1,5.0,4.1,15.0
23,4.7,6,2,3,0,1,10.0,9.0,15.0
36,5.0,5,4,9,0,2,15.0,19.7,27.0
25,4.0,3,1,3,0,2,5.0,16.8,25.0
30,4.8,6,4,3,0,3,5.0,15.0,47.0
24,4.7,2,4,6,0,2,5.0,16.0,38.0
20,4.1,2,4,8,0,2,15.0,17.3,39.0
29,4.8,4,4,3,0,1,5.0,23.0,25.0
37,4.9,6,2,3,0,2,10.0,8.1,39.0
30,4.7,6,1,6,0,2,10.0,27.4,26.0
28,4.6,2,4,9,0,2,12.0,11.3,21.0
23,4.9,4,1,3,0,2,15.0,28.6,22.0
34,4.2,5,4,12,0,2,5.0,22.3,31.0
31,4.6,1,4,6,0,2,15.0,19.8,30.0
27,4.7,3,1,12,0,1,5.0,9.8,13.0
26,4.9,3,4,3,0,2,15.0,22.8,28.0
36,4.9,4,1,3,0,2,15.0,19.6,40.0
36,4.5,6,1,6,0,2,10.0,13.8,21.0
21,4.6,5,4,12,0,2,10.0,9.05,24.0
20,4.6,5,4,6,0,2,15.0,20.3,19.0
35,4.7,4,2,3,0,3,5.0,17.8,46.0
35,4.6,5,1,6,0,2,14.0,5.233,29.0
32,5.0,1,2,3,0,2,15.0,11.2,29.0
36,4.9,1,4,3,0,2,10.0,19.5,36.0
23,5.0,3,1,6,0,2,4.0,12.4,10.0
33,4.7,2,1,6,0,1,15.0,2.7,18.0
25,4.4,4,2,6,0,3,15.0,16.8,34.0
33,4.9,4,2,3,0,3,5.0,20.6,39.0
31,4.4,4,1,6,0,1,15.0,4.9,16.0
37,4.6,4,1,12,0,1,5.0,18.6,15.0
20,4.9,2,1,6,0,2,10.0,2.4,19.0
35,4.2,2,4,9,0,2,15.0,25.8,47.0
26,4.6,2,2,12,0,2,5.0,18.0,17.0
29,4.8,3,2,8,0,1,15.0,11.8,26.0
27,4.7,3,4,9,0,2,10.0,17.0,16.0
27,5.0,5,1,12,0,1,15.0,6.7,17.0
25,4.9,2,1,6,0,1,10.0,4.2,14.0
20,4.9,4,4,3,0,2,8.0,14.4,29.0
27,4.4,3,4,3,0,2,5.0,24.1,37.0
26,4.3,4,2,8,0,2,10.0,31.7,33.0
21,4.6,6,1,8,0,2,10.0,2.5,18.0
20,4.9,3,1,8,0,1,12.0,13.7,14.0
35,4.9,5,1,12,0,1,10.0,10.6,29.0
26,5.0,2,2,3,0,2,5.0,16.0,26.0
37,4.8,2,2,12,0,1,10.0,7.7,18.0
22,4.8,2,1,3,0,2,5.0,2.7,24.0
20,4.7,4,4,9,0,2,10.0,16.5,31.0
32,4.9,3,2,9,0,1,5.0,11.0,27.0
25,4.6,2,4,6,0,2,5.0,16.5,35.0
31,4.3,3,1,3,0,2,15.0,6.5,25.0
26,4.8,1,2,6,0,1,5.0,14.5,10.0
36,4.8,5,1,6,0,1,15.0,18.1,27.0
39,4.6,4,4,6,0,2,10.0,13.8,33.0
28,5.0,6,2,3,0,2,10.0,25.6,30.0
33,5.0,1,1,6,0,1,10.0,10.0,17.0
21,4.7,3,4,12,0,2,10.0,36.25,27.0
20,4.7,2,3,3,0,2,5.0,8.0,26.0
25,4.7,4,3,9,0,2,5.0,2.5,27.0
25,4.8,2,1,3,0,1,5.0,1.8,17.0
28,4.6,6,4,12,0,1,5.0,12.5,17.0
30,4.4,5,4,3,0,3,5.0,29.5,41.0
37,5.0,3,2,6,0,2,5.0,11.95,29.0
38,4.3,4,3,6,0,2,5.0,2.6,37.0
32,5.0,2,1,6,0,2,5.0,19.0,25.0
26,5.0,3,2,6,0,2,10.0,15.0,28.0
34,4.2,4,2,8,0,2,15.0,13.5,38.0
32,4.8,6,1,3,0,2,5.0,21.4,28.0
39,4.0,4,4,6,0,3,5.0,30.2,39.0
33,4.6,5,1,12,0,2,5.0,8.9,25.0
24,4.6,2,4,3,1,1,12.0,33.6,42.0
31,4.0,3,4,3,0,3,15.0,18.7,44.0
31,4.0,5,1,3,0,2,10.0,6.7,30.0
26,4.8,1,3,6,0,1,8.0,5.5,13.0
29,4.9,5,1,12,0,2,5.0,13.7,10.0
25,5.0,4,4,8,0,3,10.0,21.0,36.0
23,4.7,6,2,3,0,1,15.0,11.1,16.0
29,4.6,2,1,3,0,2,15.0,23.8,24.0
25,4.7,2,3,3,0,2,15.0,7.6,22.0
27,4.9,2,2,6,0,1,5.0,11.8,12.0
20,4.8,2,3,8,0,2,15.0,4.8,22.0
35,4.7,6,2,9,0,2,15.0,24.0,30.0
30,4.2,4,4,6,0,3,12.0,26.9,48.0
30,4.7,6,4,6,0,2,5.0,6.0,30.0
20,4.0,6,1,3,0,2,8.0,4.2,22.0
34,4.8,4,1,16,0,2,15.0,6.3,31.0
36,4.6,2,4,3,0,1,10.0,10.6,34.0
21,4.7,3,2,6,0,2,15.0,9.2,21.0
34,4.4,4,1,4,0,2,10.0,2.3,16.0
36,4.6,1,1,3,0,2,5.0,4.8,21.0
33,5.0,2,4,6,0,1,5.0,13.8,31.0
32,4.7,2,1,8,0,1,10.0,2.1,16.0
31,4.9,5,4,12,0,2,5.0,15.3,32.0
31,4.6,4,4,3,0,2,8.0,6.3,28.0
31,3.8,4,1,8,0,3,10.0,21.7,34.0
38,4.2,4,3,8,0,2,10.0,4.8,33.0
33,4.6,2,4,6,0,3,8.0,26.5,41.0
30,4.8,5,2,9,0,2,10.0,17.0,25.0
34,4.8,4,4,8,0,2,15.0,5.9,29.0
35,4.6,3,1,12,0,1,10.0,23.6,24.0
38,4.2,3,1,3,0,2,15.0,2.6,34.0
35,4.7,1,1,6,0,2,15.0,16.0,17.0
35,4.9,2,3,6,0,2,8.0,9.2,35.0
20,4.5,6,2,8,0,2,15.0,15.8,17.0
20,4.6,2,2,8,0,1,15.0,13.3,17.0
31,4.1,4,1,3,0,2,5.0,13.25,42.0
27,5.0,3,3,12,0,2,15.0,4.0,20.0
27,4.7,1,4,6,0,1,10.0,17.7,15.0
34,4.7,1,4,6,0,2,10.0,12.9,24.0
23,4.9,6,2,9,0,1,10.0,16.0,26.0
25,4.0,6,1,3,0,2,8.0,8.3,19.0
32,4.6,5,3,6,0,2,5.0,7.2,31.0
38,4.6,4,2,8,0,1,15.0,9.5,19.0
22,4.5,4,1,3,0,2,10.0,29.2,22.0
24,4.7,6,2,6,0,2,15.0,7.9,27.0
37,4.1,2,4,8,0,3,5.0,25.6,45.0
20,4.9,2,4,12,0,1,5.0,21.1,32.0
36,4.3,2,4,6,0,2,5.0,9.1,31.0
30,4.8,4,3,3,0,2,10.0,10.6,28.0
38,4.8,5,1,6,0,2,12.0,7.1,21.0
20,5.0,1,4,6,0,1,8.0,10.6,12.0
34,3.5,3,4,8,0,3,15.0,24.7,36.0
38,3.5,3,4,6,0,1,15.0,17.5,32.0
35,4.8,6,1,9,0,1,15.0,4.3,24.0
37,4.7,1,2,3,0,2,10.0,29.3,30.0
27,4.5,5,2,8,0,2,10.0,12.5,25.0
26,4.7,1,2,8,0,1,10.0,15.4,15.0
26,4.9,2,2,3,0,1,10.0,14.1,31.0
30,4.3,5,4,8,0,3,10.0,13.9,35.0
28,4.9,5,2,3,0,2,5.0,25.9,35.0
21,5.0,5,1,6,0,1,15.0,3.2,16.0
21,4.6,1,2,12,0,1,10.0,11.0,12.0
30,4.9,3,3,3,0,2,5.0,2.1,36.0
29,4.6,1,2,3,0,2,10.0,17.2,22.0
21,5.0,5,3,8,0,2,10.0,11.0,19.0
38,4.7,3,4,8,0,2,15.0,30.0,25.0
24,4.6,4,1,8,0,1,5.0,6.0,12.0
27,4.9,6,2,12,0,2,10.0,15.1,24.0
34,4.9,5,1,12,0,2,5.0,21.8,24.0
36,4.1,5,2,3,0,2,5.0,19.6,47.0
21,4.9,3,1,6,0,2,5.0,15.0,18.0
34,4.7,1,1,12,0,1,10.0,26.3,16.0
37,4.0,6,2,3,0,2,10.0,17.9,31.0
27,5.0,1,4,12,0,1,15.0,10.4,16.0
32,4.4,2,1,6,0,2,15.0,4.2,16.0
22,5.0,4,4,6,0,3,5.0,9.9,33.0
28,4.5,3,1,6,0,1,10.0,17.0,18.0
33,4.5,5,4,6,0,2,5.0,13.8,25.0
23,4.3,4,4,9,0,1,15.0,15.4,31.0
27,4.9,4,1,6,0,1,10.0,10.7,15.0
29,4.7,4,1,8,0,2,10.0,14.6,26.0
24,4.9,1,1,6,0,1,5.0,6.5,23.0
20,4.9,4,1,3,0,1,15.0,3.5,20.0
23,4.7,4,4,12,0,1,10.0,7.8,28.0
28,4.9,2,4,12,0,1,10.0,6.7,33.0
22,4.5,3,3,8,0,2,15.0,1.8,27.0
29,4.8,1,4,3,0,2,15.0,15.6,20.0
29,4.5,3,1,3,0,2,10.0,17.5,21.0
22,4.8,1,2,12,0,2,15.0,13.6,16.0
22,4.1,6,1,3,0,2,10.0,6.4,29.0
39,4.9,5,2,3,0,2,15.0,6.85,43.0
26,4.8,1,2,12,0,2,5.0,22.0,13.0
36,4.9,3,4,3,0,4,5.0,18.2,51.5
29,4.9,3,3,3,0,1,5.0,7.5,29.0
24,4.8,2,1,6,0,1,10.0,2.3,18.0
29,5.0,1,4,6,0,2,15.0,8.4,17.0
26,4.9,4,2,9,0,1,7.0,9.6,15.0
25,4.7,4,2,8,0,1,10.0,22.6,29.0
29,5.0,3,1,6,0,1,5.0,11.4,11.0
24,4.8,2,1,9,0,1,10.0,2.7,15.0
30,4.9,3,4,8,0,2,10.0,12.3,34.0
20,4.7,4,4,6,0,1,5.0,11.1,27.0
25,4.8,6,2,12,0,2,10.0,28.4,22.0
20,4.9,5,1,9,0,1,5.0,17.8,19.0
35,4.6,1,4,6,0,2,5.0,6.6,18.0
20,4.9,4,1,6,0,2,7.0,7.8,10.0
22,4.0,5,1,3,0,1,5.0,14.9,18.0
28,4.4,5,2,3,0,2,12.0,20.8,35.0
35,5.0,5,4,8,0,1,10.0,7.8,30.0
32,4.0,3,1,3,0,1,8.0,28.2,17.0
22,4.1,2,2,9,0,2,15.0,17.0,36.0
24,4.5,1,4,3,0,1,5.0,14.7,51.5
30,4.9,6,1,6,0,2,15.0,5.6,22.0
37,4.6,3,1,8,0,2,6.0,19.4,22.0
24,4.8,6,1,6,0,1,4.0,5.8,10.0
38,4.2,3,3,3,1,2,5.0,2.6,41.0
21,4.7,3,4,3,0,2,5.0,10.3,31.0
20,4.8,1,1,3,0,2,10.0,4.0,19.0
21,4.6,6,2,8,0,2,5.0,18.3,21.0
26,4.8,3,4,12,0,2,12.0,21.6,24.0
39,4.9,3,1,3,0,2,15.0,12.9,22.0
31,4.5,2,1,3,0,1,5.0,2.3,17.0
37,4.9,3,4,12,0,1,10.0,19.2,28.0
33,4.6,5,1,6,0,1,15.0,5.0,21.0
29,4.9,2,1,3,0,2,10.0,4.1,15.0
33,4.6,2,4,9,0,1,10.0,11.1,27.0
32,4.5,3,1,3,0,2,15.0,4.9,29.0
21,4.8,4,2,3,0,2,15.0,15.1,21.0
24,4.9,5,4,6,0,2,15.0,17.2,22.0
37,4.2,3,1,3,0,2,9.0,4.3,31.0
30,4.7,5,4,3,0,2,5.0,21.6,51.5
25,4.6,5,2,3,0,2,15.0,24.3,25.0
24,4.5,3,1,3,0,1,5.0,7.2,15.0
36,5.0,1,2,3,0,2,5.0,11.4,22.0
34,4.5,5,1,3,0,1,8.0,3.4,34.0
23,4.5,5,1,6,0,2,15.0,13.7,17.0
28,4.6,1,4,3,0,2,5.0,15.2,27.0
33,4.9,1,2,8,0,1,10.0,34.7,25.0
25,4.7,1,2,6,0,1,10.0,15.5,15.0
31,4.7,5,1,12,0,1,5.0,6.7,28.0
21,4.5,5,1,12,0,1,5.0,17.1,11.0
33,4.8,4,4,3,0,2,10.0,16.5,43.0
37,5.0,1,1,8,0,1,5.0,2.2,18.0
22,4.3,4,4,6,0,1,15.0,4.699,31.0
20,4.9,5,4,6,0,2,10.0,23.5,27.0
23,4.9,1,1,3,0,2,8.0,22.0,22.0
28,4.7,5,2,6,0,2,5.0,11.5,24.0
20,4.7,1,2,8,0,1,10.0,17.5,12.0
29,4.4,4,3,9,0,2,15.0,4.3,31.0
29,4.7,5,1,6,0,1,10.0,1.7,12.0
39,4.0,5,2,3,0,2,5.0,21.9,41.0
35,4.5,6,4,8,0,2,5.0,14.3,39.0
28,4.6,6,2,12,0,2,10.0,16.2,18.0
37,4.1,6,4,6,0,2,12.0,22.7,44.0
30,4.4,3,3,3,0,1,10.0,7.6,49.0
20,4.6,4,1,8,0,1,5.0,31.3,35.0
24,4.8,1,4,3,0,1,10.0,21.5,22.0
33,4.4,3,1,3,0,2,5.0,2.0,27.0
38,4.3,5,1,3,0,2,5.0,5.9,31.0
22,4.3,5,1,3,0,1,10.0,2.3,29.0
22,4.5,5,4,8,0,1,10.0,16.6,21.0
28,4.9,2,4,6,0,2,10.0,16.6,29.0
25,4.9,5,1,12,0,2,5.0,9.9,17.0
32,4.8,5,4,3,0,2,10.0,17.8,43.0
25,4.7,4,2,6,0,2,12.0,14.0,27.0
25,4.7,3,4,6,0,2,10.0,10.7,15.0
32,4.5,6,2,6,0,2,15.0,12.5,29.0
38,4.4,2,1,3,0,4,5.0,15.0,44.0
39,4.6,2,1,12,0,1,10.0,12.7,17.0
30,4.6,2,2,3,0,3,5.0,13.9,47.0
31,4.7,2,4,12,1,2,10.0,17.7,47.0
32,4.7,6,1,3,0,1,5.0,9.5,25.0
38,4.6,2,1,12,0,2,10.0,2.4,17.0
30,4.5,2,4,6,0,2,12.0,14.2,30.0
28,4.5,2,4,3,0,2,10.0,13.7,27.0
30,4.6,6,1,3,0,1,15.0,17.0,26.0
21,4.2,4,2,12,0,2,15.0,35.3,37.0
